pk,QualityCode,DatetimeAEST,SiteID,Unit,Value,Varcode,VariableName,LastObservedTimeAEST,DataType,Owner
141.00|20190101000000|410790,1,01/01/2019 12:00:00 AM,410790,Megalitres/Day,0.4659999907,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS/EPSDD
141.00|20190101000000|410779,1,01/01/2019 12:00:00 AM,410779,Megalitres/Day,1.8830000162,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS/EPSDD
141.00|20190101000000|410776,1,01/01/2019 12:00:00 AM,410776,Megalitres/Day,3.3239998817,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,DEAD
141.00|20190101000000|410775,1,01/01/2019 12:00:00 AM,410775,Megalitres/Day,1.8480000496,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410772,2,01/01/2019 12:00:00 AM,410772,Megalitres/Day,0.1800000072,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410770,1,01/01/2019 12:00:00 AM,410770,Megalitres/Day,10.4969997406,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
141.00|20190101000000|410761,1,01/01/2019 12:00:00 AM,410761,Megalitres/Day,109.6409988403,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
141.00|20190101000000|410756,1,01/01/2019 12:00:00 AM,410756,Megalitres/Day,3.7679998875,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
141.00|20190101000000|410753,1,01/01/2019 12:00:00 AM,410753,Megalitres/Day,0.2109999955,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410751,1,01/01/2019 12:00:00 AM,410751,Megalitres/Day,0.1439999938,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410750,2,01/01/2019 12:00:00 AM,410750,Megalitres/Day,0.3000000119,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410746,1,01/01/2019 12:00:00 AM,410746,Megalitres/Day,0.0689999983,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410745,1,01/01/2019 12:00:00 AM,410745,Megalitres/Day,2.4200000763,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,TCCS
141.00|20190101000000|410729,1,01/01/2019 12:00:00 AM,410729,Megalitres/Day,14.9849996567,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
141.00|20190101000000|410711,1,01/01/2019 12:00:00 AM,410711,Megalitres/Day,4.2449998856,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,DEAD
141.00|20190101000000|410705,1,01/01/2019 12:00:00 AM,410705,Megalitres/Day,2.1340000629,141.0,Stream Discharge Ml/Day,12/26/2019 02:03:10 AM,mean,EPSDD
10.00|20181231090000|ES1801,1,01/01/2019 09:00:00 AM,ES1801,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|ER0302,1,01/01/2019 09:00:00 AM,ER0302,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,DEAD
10.00|20181231090000|570996,1,01/01/2019 09:00:00 AM,570996,Millimetres,0.200000003,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570993,1,01/01/2019 09:00:00 AM,570993,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570992,1,01/01/2019 09:00:00 AM,570992,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570991,1,01/01/2019 09:00:00 AM,570991,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570987,2,01/01/2019 09:00:00 AM,570987,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570985,1,01/01/2019 09:00:00 AM,570985,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570981,1,01/01/2019 09:00:00 AM,570981,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570978,1,01/01/2019 09:00:00 AM,570978,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570977,1,01/01/2019 09:00:00 AM,570977,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570967,1,01/01/2019 09:00:00 AM,570967,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,DEAD?
10.00|20181231090000|570944,1,01/01/2019 09:00:00 AM,570944,Millimetres,0.200000003,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570943,1,01/01/2019 09:00:00 AM,570943,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570942,1,01/01/2019 09:00:00 AM,570942,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570941,1,01/01/2019 09:00:00 AM,570941,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570928,1,01/01/2019 09:00:00 AM,570928,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,DEAD
10.00|20181231090000|570925,1,01/01/2019 09:00:00 AM,570925,Millimetres,0.200000003,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570922,255,01/01/2019 09:00:00 AM,570922,Millimetres,0,10.0,Rainfall,10/10/2019 02:01:13 AM,total,DEAD?
10.00|20181231090000|570915,1,01/01/2019 09:00:00 AM,570915,Millimetres,0.400000006,10.0,Rainfall,12/26/2019 02:01:03 AM,total,DEAD
10.00|20181231090000|570909,1,01/01/2019 09:00:00 AM,570909,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570908,1,01/01/2019 09:00:00 AM,570908,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
10.00|20181231090000|570904,1,01/01/2019 09:00:00 AM,570904,Millimetres,0,10.0,Rainfall,12/26/2019 02:01:03 AM,total,TCCS
